timestamp,latency_ms,raw_detection,voted_command,vote_confidence,num_contours_found,candidates_found,detection_rate_pct
1778078839.0602,45.00,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078839.0945,23.01,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078839.1178,15.68,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078839.1949,46.44,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078839.2519,43.76,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078839.2958,32.23,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078839.3456,35.09,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078839.3749,20.01,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078839.4392,40.84,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078839.4826,31.37,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078839.5227,24.40,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078839.5815,32.92,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078839.6327,34.27,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078839.6887,38.95,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078839.7352,34.11,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078839.7845,35.15,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078839.8414,43.11,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078839.8783,28.28,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078839.9339,35.62,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078839.9787,30.26,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078840.0205,22.23,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078840.0855,36.99,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078840.1265,28.19,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078840.1958,46.89,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078840.2426,36.29,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078840.2952,40.40,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078840.3464,37.19,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078840.3887,31.65,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078840.4208,22.76,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078840.4819,33.53,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078840.5404,41.96,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078840.5666,18.30,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078840.6434,45.00,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078840.6838,27.30,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078840.7297,31.42,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078840.7709,22.68,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078840.8479,48.79,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078840.8850,26.58,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078840.9168,18.64,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078840.9761,27.49,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078841.0237,25.24,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078841.0748,26.50,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078841.1519,53.33,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078841.1924,30.18,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078841.2381,32.43,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078841.2736,23.35,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078841.3490,48.69,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078841.4153,52.81,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078841.4710,41.33,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078841.5135,31.88,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078841.5459,21.45,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078841.5772,23.06,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078841.6230,24.50,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078841.6827,34.35,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078841.7471,48.66,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
1778078841.7927,36.12,NO_SIGN,NO_SIGN,0.0000,0,0,0.00
